resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_cadence,workout_type
2,Lunch Run,4128.0,1502,1585,71.7,Run,Run,10247993159,2023-11-17T11:18:14Z,2023-11-17T12:18:14Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,2,0,0,1,0,False,False,False,False,everyone,False,,"[48.15851837396622, 17.06448482349515]","[48.1497535854578, 17.04948641359806]",2.748,8.6,True,153.7,169.0,False,True,205.7,145.3,10973790216,10973790216,655a6842807fa129b4093706.fit,False,0,0,False,95198974,1,a10247993159,g{|dHgsdgBhAiCn@oAbCgG^iAh@qA~@cB`A{A\m@hA{An@cAjAsCLSfAyBv@sBN[LK~BWn@EXBd@LR@j@Af@@f@EdABt@AxBON?p@H`@Ax@Bn@Cx@@~@Hz@RXP^Nz@d@^LPLPFPNPVDP?N_@zAGh@GdAEdFMvBvCxEmBkBKIE@GJEXBXCr@YrAUfED~@?tBEjCCfDEfBNrD?bAGrA?nAE~A@v@OZUTWBk@?UFc@^q@b@Y`@uAr@GFCP?vADd@Bh@DX@n@`@rHHz@DpANlABnALtAFNPL@DAX_@jAAT?pAAdBIAEDBJ?n@OzC@z@IfB@fAEtBIx@,2,82.4,
2,Evening Walk,1098.0,879,6156,16.3,Walk,Walk,10247993014,2023-11-16T18:14:39Z,2023-11-16T19:14:39Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,[],[],1.249,5.0,True,90.5,110.0,False,True,201.8,188.5,10973789894,10973789894,655a68372a1ea050827a1fb6.fit,False,0,0,False,95198974,1,a10247993014,,2,57.9,
2,Afternoon Walk,2024.0,1627,2483,41.3,Walk,Walk,10229785484,2023-11-16T16:30:57Z,2023-11-16T17:30:57Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[48.1538912281394, 17.07226876169443]","[48.158284770324826, 17.064161617308855]",1.244,5.133,True,98.8,136.0,False,True,201.8,167.0,10954884286,10954884286,655654950f6d1c6dc69b4f41.fit,False,0,0,False,95198974,1,a10229785484,}l|dHofegBCFGBW?MBCF@PENUPMVKZSTYt@g@hAU\g@n@O@SW[UG?Wx@g@dAM[WW{@~ARTL@JCDDFPBXC\OX]b@GR,2,56.7,
2,Morning Walk,2361.0,1608,2857,22.2,Walk,Walk,10227138861,2023-11-16T06:57:57Z,2023-11-16T07:57:57Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[48.15870403312147, 17.064448026940227]","[48.1543679907918, 17.072003223001957]",1.468,2.6,True,93.6,116.0,False,True,210.3,167.0,10952129817,10952129817,6555c8d777cabd750516dc09.fit,False,0,0,False,95198974,1,a10227138861,_k}dHagdgBOa@McAO[WMAQADCC?O@B\DJ\HJBADQJG?E?EKIRe@HIXQTETMr@@LIPQZEPBPLb@h@`@j@\HJANKb@OVQBAJFV_AXq@\e@ZAJMJk@RMB[DIDQPSRa@BG?WPSPi@PQJ?XW\a@`@i@FU^m@N_@LON_@,2,62.1,
2,Night Workout,0.0,4671,4671,0.0,Workout,Workout,10225492755,2023-11-15T20:16:02Z,2023-11-15T21:16:02Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,92.1,133.0,False,True,0.0,0.0,10950366784,10950366784,65B27F85-2074-470E-AC52-A78A414F6434.fit,False,0,0,False,95198974,1,a10225492755,,2,,
2,Evening Table Tennis,0.0,4686,4686,0.0,Workout,TableTennis,10224847072,2023-11-15T18:15:12Z,2023-11-15T19:15:12Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,132.8,153.0,False,True,0.0,0.0,10949705826,10949705826,A462A482-8D42-4CAB-A233-55352ED3D865.fit,False,0,1,False,95198974,1,a10224847072,,2,,
2,Afternoon Walk,1869.0,1472,1885,34.6,Walk,Walk,10224134016,2023-11-15T15:26:39Z,2023-11-15T16:26:39Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[48.15374395810068, 17.071880009025335]","[48.1585088185966, 17.06421601586044]",1.27,3.0,True,92.8,107.0,False,True,201.6,167.0,10948977519,10948977519,655501db88cc30537d17edbc.fit,False,0,0,False,95198974,1,a10224134016,cm|dHofegBMFY\ULIJUj@Yb@IDKRMNQf@Yf@GRQNK@KMYGCKEAGBONeAfCABGQUWDH}@V@VFT?HCPFFJ?JHFLBTCTSf@Kl@EF,2,56.4,
2,Morning Walk,1638.0,1058,1302,4.1,Walk,Walk,10221421376,2023-11-15T08:45:29Z,2023-11-15T09:45:29Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[48.1585952360183, 17.064383989199996]","[48.15397119149566, 17.07213280722499]",1.548,2.8,True,99.7,127.0,False,True,199.3,167.0,10946169082,10946169082,65548a5fc79ebf34aef524e8.fit,False,0,0,False,95198974,1,a10221421376,}z|dHcrdgBLY^OT_@HQLc@NUb@mA`@}@FEVE^e@dAmBZu@DQLWDWXa@`@],2,59.9,
2,Evening Table Tennis,0.0,9447,9447,0.0,Workout,TableTennis,10219506733,2023-11-14T19:33:27Z,2023-11-14T20:33:27Z,(GMT+01:00) Africa/Algiers,3600.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,108.3,163.0,False,True,0.0,0.0,10944180344,10944180344,F9779C0B-674F-46A4-BCCF-6E8EA05CC999.fit,False,0,0,False,95198974,1,a10219506733,,2,,
2,Afternoon Walk,2014.8,1554,2131,69.6,Walk,Walk,10217456293,2023-11-14T15:31:13Z,2023-11-14T16:31:13Z,(GMT+01:00) Europe/Bratislava,3600.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[48.144816644489765, 17.076883669942617]","[48.14999498426914, 17.06312603317201]",1.297,2.492,True,118.5,165.0,False,True,154.4,134.2,10942081721,10942081721,B6862A0A-2131-48F5-9516-3620E08F64E1.fit,False,0,0,False,95198974,1,a10217456293,_uzdHyafgBi@Vi@j@W^i@lADTQd@S|@MfBCn@BpAAvAGr@G`CMzBCR@jAQzCB|BCn@B`ACrABdCCt@?~BAd@HfDKtFAvAD|@?BSFSTKD,2,,
